runway_id,ident,runway_length,runway_surface
314,KBRD,6500.0,asphalt
315,KBRD,6500.0,grooved concrete
316,KBRO,6000.0,asphalt
317,KBRO,7400.0,asphalt
318,KBRY,5003.0,asphalt
319,KBTL,10003.0,asphalt
320,KBTM,5100.0,asphalt
321,KBTM,5545.0,asphalt
322,KBTM,9001.0,asphalt
323,KBTR,7004.0,asphalt
324,KBTV,8320.0,asphalt
325,KBTY,5600.0,asphalt
326,KBUF,7161.0,asphalt
327,KBUF,8102.0,asphalt
328,KBUR,5801.0,asphalt
329,KBUR,6886.0,asphalt
330,KBUY,5000.0,asphalt
331,KBVS,5477.0,asphalt
332,KBVX,6002.0,asphalt
333,KBVY,5001.0,asphalt
334,KBWD,5599.0,asphalt
335,KBWG,6500.0,asphalt
336,KBWI,5000.0,asphalt
337,KBWI,6000.0,asphalt
338,KBWI,9501.0,asphalt
339,KBWI,10502.0,asphalt
340,KBWP,5100.0,asphalt
341,KBXK,5500.0,asphalt
342,KBXM,6000.0,asphalt
343,KBXM,8000.0,asphalt
344,KBXM,8000.0,asphalt
345,KBYG,6143.0,asphalt
346,KBYY,5107.0,asphalt
347,KBZN,9003.0,asphalt
348,KC15,5000.0,asphalt
349,KC80,5000.0,asphalt
350,KCAD,5000.0,asphalt
351,KCAE,8601.0,asphalt
352,KCAG,5600.0,asphalt
353,KCAK,5599.0,asphalt
354,KCAK,7597.0,asphalt
355,KCAK,7601.0,asphalt
356,KCAO,6300.0,asphalt
357,KCBE,5048.0,asphalt
358,KCCO,5500.0,asphalt
359,KCDC,8653.0,asphalt
360,KCDH,6501.0,asphalt
361,KCDN,5000.0,asphalt
362,KCEC,5002.0,asphalt
363,KCEC,5002.0,asphalt
364,KCEF,7082.0,asphalt
365,KCEF,11597.0,asphalt
366,KCEV,6500.0,asphalt
367,KCEW,8005.0,asphalt
368,KCEY,6200.0,asphalt
369,KCEZ,7205.0,asphalt
370,KCFV,5872.0,asphalt
371,KCGF,5102.0,asphalt
372,KCGZ,5200.0,asphalt
373,KCHA,5000.0,asphalt
374,KCHA,7400.0,asphalt
375,KCHO,6001.0,asphalt
376,KCHS,7004.0,asphalt
377,KCIC,6724.0,asphalt
378,KCII,5000.0,asphalt
379,KCIU,5000.0,asphalt
380,KCJR,5000.0,asphalt
381,KCKB,7800.0,asphalt
382,KCKC,5002.0,asphalt
383,KCKF,5001.0,asphalt
384,KCKF,5006.0,asphalt
385,KCKF,5040.0,asphalt
386,KCKI,5000.0,asphalt
387,KCKM,5404.0,asphalt
388,KCKV,6000.0,asphalt
389,KCLL,5159.0,asphalt
