ident,iata_code,icao_code,local_code,name,type,latitude_deg,longitude_deg,elevation_ft,country_name,region_name,runway_lengths_ft,runway_surfaces,airtanker_base,index__gacc,gacc
K2J3,,,2J3,Louisville Municipal Airport,small_airport,32.98649978637695,-82.38569641113281,328.0,United States,Georgia,5000,asphalt,False,100,Southern Area Coordination Center
K2M2,,,2M2,Lawrenceburg Lawrence County Airport,small_airport,35.234299,-87.257896,936.0,United States,Tennessee,5003,asphalt,False,100,Southern Area Coordination Center
K2R0,,,2R0,Waynesboro Municipal Airport,small_airport,31.645999908447266,-88.63480377197266,164.0,United States,Mississippi,5000,asphalt,False,100,Southern Area Coordination Center
K2T1,,,2T1,Muleshoe Municipal Airport,small_airport,34.18510055541992,-102.64099884033205,3779.0,United States,Texas,5100,asphalt,False,100,Southern Area Coordination Center
K2V5,,,2V5,Wray Municipal Airport,small_airport,40.10029984,-102.2409973,3667.0,United States,Colorado,"5040,5400","asphalt,asphalt",False,119,Rocky Mountain Area Coordination Center
K32A,,,32A,Danville Municipal Airport,small_airport,35.087002,-93.427498,387.0,United States,Arkansas,5325,asphalt,False,100,Southern Area Coordination Center
K38U,,,38U,Wayne Wonderland Airport,small_airport,38.36249923706055,-111.59600067138672,7023.0,United States,Utah,5900,asphalt,False,118,Great Basin Coordination Center
K3F3,,,3F3,C E 'Rusty' Williams Airport,small_airport,32.0735015869,-93.7655029297,324.0,United States,Louisiana,5070,asphalt,False,100,Southern Area Coordination Center
K3J7,,,CPP,Greene County Regional Airport,small_airport,33.598008,-83.138158,677.0,United States,Georgia,5500,asphalt,False,100,Southern Area Coordination Center
K3K7,,,3K7,Mark Hoard Memorial Airport,small_airport,38.457001,-101.352997,3303.0,United States,Kansas,5100,asphalt,False,119,Rocky Mountain Area Coordination Center
K3M8,,,3M8,North Pickens Airport,small_airport,33.386799,-88.006599,237.0,United States,Alabama,5144,asphalt,False,100,Southern Area Coordination Center
K3R7,,,3R7,Jennings Airport,small_airport,30.242700576782227,-92.67340087890624,23.0,United States,Louisiana,5000,asphalt,False,100,Southern Area Coordination Center
K3T5,,,3T5,Fayette Regional Air Center Airport,small_airport,29.908001,-96.949997,324.0,United States,Texas,5001,asphalt,False,100,Southern Area Coordination Center
K3U3,,,3U3,Bowman Field,small_airport,46.153099,-112.867996,5034.0,United States,Montana,6011,asphalt,False,89,Northern Rockies Coordination Center
K42J,,,42J,Keystone Heights Airport,small_airport,29.8447,-82.047501,196.0,United States,Florida,5044,asphalt,False,100,Southern Area Coordination Center
K49B,,,49B,Sturgis Municipal Airport,small_airport,44.417999,-103.375,3243.0,United States,South Dakota,5100,asphalt,False,119,Rocky Mountain Area Coordination Center
K49X,,,49X,Chemehuevi Valley Airport,small_airport,34.528805,-114.431999,631.0,United States,California,5000,asphalt,False,97,Southwest Area Coordination Center
K4A6,,,4A6,Scottsboro Municipal Word Field,small_airport,34.688702,-86.005898,650.0,United States,Alabama,5250,asphalt,False,100,Southern Area Coordination Center
K4A7,,,HMP,Atlanta Speedway Airport,small_airport,33.389876,-84.331011,882.0,United States,Georgia,5500,asphalt,False,100,Southern Area Coordination Center
K4A9,,,4A9,Isbell Field,small_airport,34.473701,-85.721397,877.0,United States,Alabama,5001,asphalt,False,100,Southern Area Coordination Center
K4G6,,,HTF,Hornell Municipal Airport,small_airport,42.382139,-77.68211,1219.0,United States,New York,5000,asphalt,False,51,Eastern Area Coordination Center
K4I3,,,4I3,Knox County Airport,small_airport,40.328701,-82.523804,1191.0,United States,Ohio,5001,asphalt,False,51,Eastern Area Coordination Center
K4I7,,,GPC,Putnam County Airport,small_airport,39.632596,-86.813793,842.0,United States,Indiana,5000,asphalt,False,51,Eastern Area Coordination Center
K4O4,,,4O4,McCurtain County Regional Airport,small_airport,33.909401,-94.859398,472.0,United States,Oklahoma,5000,asphalt,False,100,Southern Area Coordination Center
K4R3,,,4R3,Jackson Municipal Airport,small_airport,31.470532,-87.895911,62.0,United States,Alabama,5003,asphalt,False,100,Southern Area Coordination Center
K4R4,,,CQF,H L Sonny Callahan Airport,small_airport,30.460501,-87.876999,91.0,United States,Alabama,6604,asphalt,False,100,Southern Area Coordination Center
K4R7,UCE,,4R7,Eunice Airport,small_airport,30.466299057007,-92.423797607422,42.0,United States,Louisiana,5001,asphalt,False,100,Southern Area Coordination Center
K4S3,,,JSY,Joseph State Airport,small_airport,45.3596000671,-117.253997803,4121.0,United States,Oregon,5200,asphalt,False,90,Northwest Interagency Coordination Center
